The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
The Lion King | Roger Allers, Rob Minkoff | animacion, aventura, drama | Matthew Broderick, Jeremy Irons | 1994
Back to the Future | Robert Zemeckis | aventura, comedia, sci-fi | Michael J. Fox, Christopher Lloyd | 1985
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
Star Wars: A New Hope | George Lucas | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1977
Casablanca | Michael Curtiz | drama, romance, guerra | Humphrey Bogart, Ingrid Bergman | 1942
Citizen Kane | Orson Welles | drama, misterio | Orson Welles, Joseph Cotten | 1941
The Shawshank Redemption | Frank Darabont | drama | Tim Robbins, Morgan Freeman | 1994
The Godfather | Francis Ford Coppola | crimen, drama | Marlon Brando, Al Pacino | 1972
The Dark Knight | Christopher Nolan | accion, crimen, drama | Christian Bale, Heath Ledger | 2008
Pulp Fiction | Quentin Tarantino | crimen, drama | John Travolta, Uma Thurman | 1994
The Lord of the Rings: The Return of the King | Peter Jackson | aventura, drama | Elijah Wood, Viggo Mortensen | 2003
Forrest Gump | Robert Zemeckis | drama, romance | Tom Hanks, Robin Wright | 1994
Inception | Christopher Nolan | accion, aventura, sci-fi | Leonardo DiCaprio, Joseph Gordon-Levitt | 2010
The Matrix | The Wachowskis | accion, sci-fi | Keanu Reeves, Laurence Fishburne | 1999
Fight Club | David Fincher | drama | Brad Pitt, Edward Norton | 1999
The Empire Strikes Back | Irvin Kershner | accion, aventura, fantasia | Mark Hamill, Harrison Ford | 1980
The Godfather: Part II | Francis Ford Coppola | crimen, drama | Al Pacino, Robert De Niro | 1974
Goodfellas | Martin Scorsese | crimen, drama | Robert De Niro, Ray Liotta | 1990
The Silence of the Lambs | Jonathan Demme | crimen, drama, thriller | Jodie Foster, Anthony Hopkins | 1991
The Usual Suspects | Bryan Singer | crimen, drama, misterio | Kevin Spacey, Gabriel Byrne | 1995
